key	linga	base	pratyaya	head_segment	lnum	page
akftya	na0	kf	kyap aprASastye na0 ta0	akftya na0 kf — kyap aprASastye na0 ta0 . duzwakAryye cOryyA- dikaraRe . na kftyamasya na0 ba0 . karmmarahite tri0 .	91	0040,b
akftrima				akftrima tri0 na kftrimaH na0 ta0 . kftrimaBinne svaBAvasidDe . “ kftrimAkftrimayormaDye kftrime kAryyasaMpratyaya ” iti pari- “ BAzA akftrimasneharasAnuvidDamiti ” .	92	0040,b
akftvA		a0 na kftvA na + kf	ktvA	akftvA a0 na kftvA na + kf — ktvA . karaRAnantaryye “ akftvA kulasantatimiti ” manuH .	93	0040,b
akfzwapacya	tri0	akfzwe kzetre pacyate paca	kyap 7 ta0	akfzwapacya tri0 akfzwe kzetre pacyate paca — kyap 7 ta0 . halAdyakfzwakzetre pacyamAne nIvArAdO Sasye .	94	0040,b
akfzRa				akfzRa pu0 nAsti kfzRaH malo yasya . nizkalaNke candre “ candramA vE brahmA'kfzRa ” iti SrutiH . na0 ta0 . kfzRatva- viroDiSuBratve pu0 . tadvati, SudDe ca tri0 .	95	0041,a
akfzRakarmman				akfzRakarmman tri0 na kfzRaM SudDaM karmma yasya . SudDakarmmakAriRi puRyaSIle .	96	0041,a
aketu				aketu pu0 nAsti ketuScihnaM yasya . cihnarahite ajYAne, “ ketuM kfRvannaketave ” iti vedaH yaju0 (29, 37) aketave ajYAnAyeti vedadIpaH . cihnaDvajAByAM rahite tri0 .	97	0041,a
akOSala				akOSala tri0 na kuSalaH akuSalastato BavAdO aR Adya- co vA na vfdDiH . akuSalaBavAdO . Adyaco vA vfdDO AkOSalo'pyatra . kuSalasya BAvaH aR + na0 ta0 . asOzWave na0 .	98	0041,a
akkA				akkA strI aka — ka, acyate ityak aYca — kvip gatiH tasyE kAyati kE ka vA . mAtari jananyAm .	99	0041,a
akta	tri0	ajyate anja	karmmaRi kta	akta tri0 ajyate anja — karmmaRi kta . kftAYjane, “ aktaM rihAraRAM vyantu vaya iti ” “ aktAH SarkarA upadaDA tIti ” ca SrutiH parimite, vyApte, saNkule ca .	100	0041,a
aktu	pu0	anja	tu ni0	aktu pu0 anja — tu ni0 . rAtrO, tadupalakzite tamasi ca “ rudraM divA vardDayA rudramaktO ” itivedaH .	101	0041,a
aktra	na0	anja	bA0 ktra	aktra na0 anja — bA0 ktra . varmmaRi .	102	0041,a
akra				akra tri0 ancu gatO rak . sTire . “ udu svarurnavajA nAkraH ” itivedaH .	103	0041,a
akrama				akrama tri0 nAsti kramaH paripAwI pAdaH kramaRaM vA'sya . paripAwISUnye tyaktakrame ekakAle . “ taccArTakriyAcAritvaM kramAkramAByAM vyAptaM na ca kramAkramAByAmanyaH prakAraH samastIti ” sarvvada0 pA	104	0041,a
akrAntA	strI	na kramyate sma kaRwakAvftatvAt krama	kta na0 ta0	akrAntA strI na kramyate sma kaRwakAvftatvAt krama — kta na0 ta0 . bfhatyAm . krAntaBinne vizRunA krAnte ca tri0 .	105	0041,a
akratu				akratu tri0 nAsti kraturyajYaH saMkalpovA yasya . yajYarahite saMkalparahite ca paramAtmani pu0 “ nyakratUnyarTino mfDravAca ” iti vedaH .	106	0041,a
akriyA				akriyA strI0 aBAvArTe na0 ta0 . kriyABAve “ praDAnasyA- kriyA yatra sANgaM tat kriyate punaH . tadaNgasyAkriyAyAntu nAvfttirna ca tatkriyeti ” “ akriyA triviDA prokteti ” ca smftiH . na0 ba0 . karmmaS	107	0041,a
