key	linga	base	pratyaya	head_segment	lnum	page
maKAgni				maKAgni pu0 6 ta0 . yajYe saMskftAgnO jawA0 . maKAna- lAdayo'pyatra .	37204	4713,a
maKAnna				maKAnna na0 maKe tatkAle BojyamannaM munyannatvAt SA0 ta0 . (mAKanA) 1 jalajAte mUlaje PalaBede “ maKAnnaM padmavIjasya guREstulyaM vinirdiSet ” BAvapra0 . 6 ta0 . 2 yajYAnne ca .	37205	4713,a
maKAsuhft				maKAsuhft pu0 6 ta0 . dakzayajYasya nASake mahAdeve hemaca0	37206	4713,a
maga				maga sarpaRe BvA0 para0 saka0 sew idit . maNgati amaNgIt .	37207	4713,a
magaDa				magaDa pu0 maNgyate aDogamyate'nena magi — ka pfzo0 BagaM dozaM pApaM vA daDAti DA — ka . 1 deSaBede 2 taddeSasTe jane ba0 va0 . sa ca kIkawetisaMjYaH aNgadeSasTaSca . kIkawezu gayA puRyA nadI puRyA p	37208	4713,a
magaDA				magaDA strI magaDa utpattisTAnatvenAstyasyA ac . pippalyAM ratnamA0 .	37209	4713,a
magaDeSvara				magaDeSvara pu0 6 ta0 . 1 jarAsanDanfpe hema0 . 2 taddeSapatimAtre ca .	37210	4713,a
magaDodBavA				magaDodBavA strI magaDadeSe bAhulyenodBavati ac . pippa- lyAm rAjani0 . taddeSe tasyAH pracuraBavatvAttaTAtvam .	37211	4713,a
magaDya				magaDya parivezwane kaRqvA0 pa0 saka0 sew . magaDyati amaga- DyI(DI)t .	37212	4713,a
maganda				maganda pu0 magaM pApaM dadAti dA qa pfSo0 mumf ca . kuSIdini niru0 6 . 22 .	37213	4713,b
magaRa				magaRa pu0 CandaHSAstrokte sarvaguruke varRatraye .	37214	4713,b
magala				magala pu0 gotrapravararziBede pravarA0 .	37215	4713,b
magna	tri0	masja	kta	magna tri0 masja — kta . (qovA) jalAdO kftamajjane .	37216	4713,b
maGa				maGa kEtave dyUtakrIqAdO aka0 gatO nindAyAM AramBe ca saka0 BvA0 A0 sew idit . maNGate amaNGizwa .	37217	4713,b
maGa				maGa BUzaRe BvA0 para0 saka0 sew idit . maNGati amaNGIt .	37218	4713,b
maGa	pu0	maGi	ac pfzo0	maGa pu0 maGi — ac pfzo0 . 1 dvIpaBede medi0 . (maga)nAmake 2 mlecCadeSaBede . 3 puzpaBede na0 SabdaratnA0 .	37219	4713,b
maGavan				maGavan(t) pu0 maha — kanin ni0 hasya GaH “ maTavA bahulam ” pA0 vA tfc . 1 indre amaraH 2 tannAmanAmake pecake ca . tfci maGavAn atfci maGavA . evaM maGa- vAnO maGavantAvityAdirUpadvayam . Batve anna	37220	4713,b
maGavat				maGavan(t) pu0 maha — kanin ni0 hasya GaH “ maTavA bahulam ” pA0 vA tfc . 1 indre amaraH 2 tannAmanAmake pecake ca . tfci maGavAn atfci maGavA . evaM maGa- vAnO maGavantAvityAdirUpadvayam . Batve anna	37220.1	4713,b
maGA	strI	maha	Ga hasya Gatvam	maGA strI maha — Ga hasya Gatvam . aSvinyavaDike daSame nakzatre tasyASca paYcatArAtmakatvAt bahutvamapi “ pitaraH spfhaya- ntyannamazwakAsu maGAsu ca ” smftiH . “ maGAM mUlaYca varjaye- diti “ maGAyA	37221	4713,b
maGAtrayodaSI				maGAtrayodaSI strI maGAnakzatreRa yuktA trayodaSI SA0 ta0 . BAdrakfzRatrayodaSyAM tatrEva maGAnakzatrasaMyogasamBavAt . tatra SrAdDamAvaSyakaM yaToktaM ti0 ta0 “ prOzWapadyUrDvaM kfzRatrayodaSyAM maDA	37222	4713,b
maGABU	pu0	maGAsannikfzwe fkze Bavati BU	kvip	maGABU pu0 maGAsannikfzwe fkze Bavati BU — kvip . pUrvaPalgunI jAte Sukragrahe trikA0 . BagadEvataSabde 4631 pf0 dfSyam	37223	4714,a
maGI				maGI pu0 maDAnakzatramutpattikApatyenAstyasya ac gOrA0 NIz . maGAnakzatrastraraviBujyamAnayukte kAle sOra- mAdramAse jAyamAne (Ausa) DAnyaBede medi0 .	37224	4714,a
maNkalaka				maNkalaka pu0 1 fziBede BA0 va0 83 a0 . 2 yakzaBede tatrEva .	37225	4714,a
maNki	pu0	maki	in	maNki pu0 maki — in . DanecCuvaRigBede BA0 SA0 177 a0 .	37226	4714,a
maNku	pu0	maki	un	maNku pu0 maki — un . saYcaladgatike Sata0 brA0 5 . 5 . 4 . 11 .	37227	4714,b
maNkura	pu0	maki	urac	maNkura pu0 maki — urac . darpaRe BarataH .	37228	4714,b
maNkzaRa		maNkza	lyuw	maNkzaRa maNkza — lyuw . jaNGAtrARe hArA0 .	37229	4714,b
maNkzu	avya0	maKi	un	maNkzu(NKu) avya0 maKi — un . 1 SEvyre 2 mfSArTe ca . pfzo0 Kasya kzatvamapi .	37230	4714,b
maNKu	avya0	maKi	un	maNkzu(NKu) avya0 maKi — un . 1 SEvyre 2 mfSArTe ca . pfzo0 Kasya kzatvamapi .	37230.1	4714,b
maNga	pu0	magi	GaY	maNga pu0 magi — GaY . nOkASirasi hema0 .	37231	4714,b
maNgala	pu0	magi	alac	maNgala pu0 magi — alac . 1 BUmisute grahaBede 2 praSaste 3 aBIzwArTasidDO ca . 4 tadvati tri0 amaraH . striyAM NIp “ sumaNgalIriyaM baDUH ” si0 kO0 . 5 durgAyAM 6 hari- drAyAM 7 dUrvAyAM 8 pativratAy	37232	4714,b
maNgalacaRqI				maNgalacaRqI strI maNgale caRqI dakzA . 1 devIBede svArTe ka . maNgalacaRqikAvyatra tannAmaniruktiH brahmavE0 pra0 41 a0 uktA yaTA “ dakzAyAM varttate caRqI kasyARezu ca maNga- lam . maNgalezu ca yA d	37233	4714,b
maNgalacCAya				maNgalacCAya pu0 maNgalA praSastA CAyA yasya . vawavfkze rAjani0 .	37234	4714,b
maNgalapAWaka	pu0	maNgalArTaM stutIH paWati paWa	Rvul	maNgalapAWaka pu0 maNgalArTaM stutIH paWati paWa — Rvul . stutipAWake hemaca0 . “ A vfTAmaNgalapAWaka . ” veRI0 .	37235	4714,b
maNgalAguru				maNgalAguru na0 nityaka0 . aguruBede rAjani0 .	37236	4714,b
maNgalya				maNgalya na0 maNgalAya hitaM yat . 1 candane 2 maNgalAguruRi 3 svarRe 4 sindUre rAjani0 5 daDni ca . 6 rucire tri0 hema0 7 maNgalakare tri0 medi0 . “ sarvamaNgalamaNgalye ” iti devImA0 . 8 zaSvatTe 9 	37237	4715,a
maNgalyaka				maNgalyaka pu0 maNgalagrahasya priyaH taddozanivAraRArTaM dIya- mAnatvena SAstraviDAnAt . masUre amaraH .	37238	4715,a
maNgalakusumA				maNgalakusumA strI maNgalyaM kusumaM yasyAH . SatapuzpyAm BAvapra0 .	37239	4715,a
maNgalyatAmaDeyA				maNgalyatAmaDeyA strI 6 ba0 . jIvantyAmozaDO jawA0 .	37240	4715,a
maNgalyA				maNgalyA strI maNgalAya hitA yat . 1 mallikAganDayuktA- guruRi amaraH 2 rocanAyAm 3 avAkpuzpyAm 4 SamyAM 2 SuklavacAyAM medi0 6 priyaNgO 7 mAzaparRyAM hemaca0 8 SatapuzpyAm 9 jIvantyAm 10 fdDinAmOzaDO	37241	4715,a
maNginI				maNginI strI maNgI nOkASiraH astyasyA ini NIp . nO- kAyAM hemaca0 .	37242	4715,a
maNguza				maNguza pu0 nfpaBede tasyApatyaM kurvA0 Rya . mANguzya tadapatye puMstrI	37243	4715,a
maca				maca damBe SAWye ca aka0 BvA0 A0 sew . macate amacizwa mece .	37244	4715,a
maca				maca uccatAkaraRe DAraRe pUjAyAM ca saka0 dIptO aka0 BvA0 Atma0 sew idit . maYcate amaYcizwa . maYcyate .	37245	4715,a
macakruka				macakruka na0 kurukzetrAntargate tIrTaBede . kurukzetraSabde dfSyam	37246	4715,a
macarcikA				macarcikA strI carca — DAtvarTanirdeSe Rvul masya SamBoriva carcikA DyAnam . praSaste amaraH avyutpanno'yamityeke “ matallikAdayo niyataliNgA na tu viSizyaniGnAH ” si0 kO0 “ praSaMsAvacanESca ” pA0 as	37247	4715,a
macCa				macCa puMstrI0 mAdyati mada — kvip taTA san Sete SI — qa . matsye Sabdara0 . striyAM jAtitvAt NIz .	37248	4715,a
majira				majira pu0 fziBede tasyApatTaM SivA0 aR . mAjira tada- patye puMstrI0 .	37249	4715,a
majjakft	na0	majjAnaM karoti kf	kvip	majjakft na0 majjAnaM karoti kf — kvip . 1 dehasTe asTi- rUpe padArTe hemaca0 annAdizu Buktezu rasAdiparipA- kena krameRaSoRitamAMsatvagasTiSukrARAmutpatteH asTnaH majjAkfttvam .	37250	4715,a
majjat	pu0	masja	kanin	majjat pu0 masja — kanin . 1 asTijAte asTimaDyasTe snehA- kAre padArTe 2 vfkzAdeH sArAMSe ca amaraH . Palamajja- [Page4715-b+ 38] guRAH “ yasya yasya PalasTeha vIryyaM Bavati yAdfSam . tasya tasyEva v	37251	4715,a
majjana	na0	masja	BAve lyuw	majjana na0 masja — BAve lyuw . 1 snAne (qovA) jawADa0 . karttari lyu . 2 majjAyAM Sabdara0 asTiBaDyamajjanA- ttasyAstaTAtvam . 3 kumArAnucaragaRaBede BA0 Sa0 46 a0 .	37252	4715,b
majjasamudBava	na0	majjYaH samudBavati sam + ud + BU	ac 5 na0	majjasamudBava na0 majjYaH samudBavati sam + ud + BU — ac 5 na0 . Sukre tasya majjajAtatvam majjanacCabde drazwavyam .	37253	4715,b
majjA	strI	masja	ac wAp	majjA strI masja — ac wAp . 1 asTisAre 2 vfkzAdeH sArAMSe ca hema0 . “ BallAtakI mUlakaSigrusidDEH priyAlamallA- sahitEH ” suSrutaH .	37254	4715,b
majjAja	na0	majjAto jAyate jana	qa	majjAja na0 majjAto jAyate jana — qa . 1 BUmije guggulO rAjani0 2 SukraDAtO na0	37255	4715,b
majjArasa				majjArasa majjAyAH rasaH paripAkaH . Sukre rAjani0 . tasya majjAsamBavatvaM majjakfcCabde uktam .	37256	4715,b
majjAsAra				majjAsAra na0 majjAyAM sAro'sya . jAtIPale rAjani0 .	37257	4715,b
majjUzA	strI	masja	Uzan	majjUzA strI masja — Uzan . maYjUzAyAM rAyamukuwaH .	37258	4715,b
majman	na0	masja	manin pfzo0	majman na0 masja — manin pfzo0 . bale niGaRwuH .	37259	4715,b
maYca	pu0	maci	ucCrAye GaY	maYca pu0 maci — ucCrAye GaY . 1 KawvAyAm amaraH (mAMcA) vaMSanirmite 2 uccAsane 3 uccamaRqapamede hArA0 “ maYcasTaM raGunandanam ” purARam . svArTe ka . tatrEva “ vfdDo'nDaH patireza maYcakagataH ” i	37260	4715,b
maYcakASraya				maYcakASraya pu0 6 ba0 . matkuRe (CArapokA) rAjani0 .	37261	4715,b
maYcamaRqapa				maYcamaRqapa pu0 maYca iva maRqapaH . SasyarakzArTe ucce patrA- dikuwIre (waN) hArA0 .	37262	4715,b
maYjara	na0	manja	arac	maYjara na0 manja — arac . 1 tilakavfkze 2 muktAyAYca 3 ballyAYca SabdaratnA0 .	37263	4715,b
maYjari				maYjari(rI) strI maYju fcCati f0 in Saka0 pararUpaM vA NIp . aBinavodgatAyAM sukumArAyAM pallavANkurarUpAyAM 1 vallaryyAm amaraH NIbantastu tatra 2 muktAyAM 3 tilaka- latAyAM SabdaratnA0 . 4 tulasyAm 	37264	4715,b
maYjarI				maYjari(rI) strI maYju fcCati f0 in Saka0 pararUpaM vA NIp . aBinavodgatAyAM sukumArAyAM pallavANkurarUpAyAM 1 vallaryyAm amaraH NIbantastu tatra 2 muktAyAM 3 tilaka- latAyAM SabdaratnA0 . 4 tulasyAm 	37264.1	4715,b
maYjarInamra				maYjarInamra pu0 maYjaryyAM tadavasTAyAmapi namraH . vetase . rAja na0 .	37265	4715,b
maYjA	strI	maji	ac	maYjA strI maji — ac . 1 CAgyAM trikA0 . 2 maYjaryyAM hemaca0 .	37266	4715,b
maYji	strI	manja	in vA NIp	maYji(YjI) strI manja — in vA NIp . maYjaryyAm trikA0 .	37267	4715,b
maYjI	strI	manja	in vA NIp	maYji(YjI) strI manja — in vA NIp . maYjaryyAm trikA0 .	37267.1	4715,b
maYjikA	strI	maji	Rvul wAp ata ittvam	maYjikA strI maji — Rvul wAp ata ittvam . veSyAyAM hArA0 .	37268	4716,a
maYjiPalA				maYjiPalA strI maYjiH maYjarI Pale yasyAH . kadalyAm trikA0	37269	4716,a
maYjizWA				maYjizWA strI atiSayena maYjImatI izWan matupo lopaH . svanAmaKyAtAyAM latAyAm amaraH . “ maYjizWA maDurA tiktA kazAyA svarRavarRakft . gurUzRA vizaSlezmaGnI SoTayonyakzikarRaruk . raktAtIsArakuzWAsra	37270	4716,a
maYjizWAmeha				maYjizWAmeha pu0 suSrutIkte mehaBede tallakzaRaM tatroktaM yaTA mehatItyanuzaNge “ maYjizWodakaprakASaM maYjizWAmehI ” .	37271	4716,a
maYjizWArAga				maYjizWArAga pu0 maYjizWeva rAgaH . “ maYjizWArAgamAhustaM yannApEtyatiSoBate ” sA0 da0 ukte pUrvAnurAgaBede .	37272	4716,a
maYjIra	na0	manja	DvanO Iran	maYjIra na0 manja — DvanO Iran . 1 nupUre amaraH . “ maYju- maRimaYjIre kalagamBIre ” iti sA0 10 pa0 . 2 daDimanyana- daRqabanDastamBe pu0 hemaca	37273	4716,a
maYjIraka	pu0	maYjIra iva kAyati SabdAyate kE	ka	maYjIraka pu0 maYjIra iva kAyati SabdAyate kE — ka . nupUra- DvanitulyaDvaniyute tataH SivA0 apatye aR . mAYjIra tadapatye puMstrI0 .	37274	4716,a
maYju	tri0	manja	un	maYju tri0 manja — un . manohare amaraH . siDmA0 lac . maYjula tadvati tri0 .	37275	4716,a
maYjukeSin				maYjukeSin pu0 karma0 prASastye ini . 1 SrIkfzRe halA0 2 sundarakeSayute tri0 striyAM NIp .	37276	4716,a
maYjugamanA				maYjugamanA strI 6 va0 . 1 haMsyAM rAjani0 2 sundaragatiyute tri0 .	37277	4716,a
maYjuGoza				maYjuGoza pu0 . tantrokte 1 upAsyadevaBede tantrasAre dfSyam . 2 pUrvajinaBede trikA0 . karma0 . 3 manoharaSabde pu0 .	37278	4716,a
maYjupAWaka		puMstrI0 maYju paWati paWa	Rvul	maYjupAWaka puMstrI0 maYju paWati paWa — Rvul . 1 SukaKage rAjani0 striyAM jAtitvAt NIz . 2 manoharapAWake tri0	37279	4716,a
maYjuprARa				maYjuprARa pu0 6 ba0 . caturmuKe brahmaRi jawA0 sarvavyApi- tvena viDAtfprARasya mahAprARatvAt tasya taTAtvam .	37280	4716,a
maYjuBadra				maYjuBadra pu0 jinaBede trikA0 .	37281	4716,a
maYjuBAzin	tri0	maYju BAzate mAza	Rini	maYjuBAzin tri0 maYju BAzate mAza — Rini . 1 sundaraBA- zake striyAM NIp sA ca “ sajasAjagO Bavati maYju- BAziRI ” vf0 ra0 ukte 2 trayodaSAkzarapAdake CandoBede .	37282	4716,a
maYjula				maYjula tri0 manja — siDmA0 lac maji — ulac vA . 1 mano hare 2 nikuYje medi0 3 Sabale na0 viSvaH . 4 jasarazWaRage puMstrI0 medi0 striyAM NIz .	37283	4716,a
maYjuSrI				maYjuSrI pu0 6 ba0 . 1 maYjuGope 2 pUrvajinaBede trikA0 . 3 sundaraSrIke tri0 .	37284	4716,a
maYjuhAsinI				maYjuhAsinI strI “ jato sajO go Bavati majuhAsinI ” [Page4716-b+ 38] vf0 ra0 wI0 ukte 1 trayodaSAkzarapAdake 2 CandoBede . 3 su- ndarahAsayute tri0 .	37285	4716,a
maYjUzA				maYjUzA strI manja Uzan (pewarA) 1 pewikAyAm amaraH . 2 maYjizWAyAYca rAjani0 3 pAzARe uRA0 ko0 .	37286	4716,b
mawa				mawa sAde BvA0 pa0 saka0 sew . mawati amawIt amAwIt mewatuH	37287	4716,b
mawacI	strI	mawa	bA0 aci NIp	mawacI strI mawa — bA0 aci NIp . 1 pAzARavfzwO “ mawacIhatezu kuruzu ” CandogyaSrutiH . 2 raktavarRakzudraKagaBede govindaH .	37288	4716,b
mawasPawi				mawasPawi pu0 darpAramBe jawA0 .	37289	4716,b
maWa				maWa vAse aka0 mardane saka0 BvA0 para0 sew . maWati amaWItamAWIt meWatuH .	37290	4716,b
maWa				maWa ADyAne A0 saka0 sew idit . maRWate amaRWizwa .	37291	4716,b
maWa		puMna0 ardDarcA0 maWatyatra maWaM	GaYarTe ka	maWa puMna0 ardDarcA0 maWatyatra maWaM — GaYarTe ka . 1 CAtrAdyAvAse 2 devAgAre amaraH . maWapratizWAtattve tatpratizWAviDi- rdfSyaH . devagfhaSabde cAtra dfSyam . 3 gantrIraTe hArA0 .	37292	4716,b
maWara	pu0	maWa	aran	maWara pu0 maWa — aran . 1 muniBede 2 SORqe tri0 ujjvala0 . rAjada0 paranipAtaH rAjamaWaraH . gargA0 yaY . mAWaryya tanmunerapatye puMstrI0 striyAM NIp yalopaH . SORqArTa- kasyApatye vidA0 aY . mAWara	37293	4716,b
maqa				maqa mode cu0 uBa0 aka0 sew idit . BaRqayati — te amama- Rqat ta . viBAge BvA0 Atma0 . maRqate .	37294	4716,b
maqa				maqa BUzaRe curA0 uBa0 pakze BvA0 para0 saka0 sew idit . maRqa- yati te maRqati amamaRqat — ta amaRqIt .	37295	4716,b
maqaka	pu0	maqi	kvun pfzo0 nalopaH	maqaka pu0 maqi — kvun pfzo0 nalopaH . DAnyaBede (mequyA) jawA0 .	37296	4716,b
maqara	pu0	maqi	zA0 aran pfzo0 nalopaH	maqara pu0 maqi — zA0 aran pfzo0 nalopaH . SilpiBede kanDASabde pare asyAdyudAttatA .	37297	4716,b
maqAra	pu0	maqi	vA0 Aran pfzo0	maqAra pu0 maqi — vA0 Aran pfzo0 . BUzake tataH catu rarTyAM pragadyA0 Yya . mAqAryya tena rnirvfttAdO tri0 .	37298	4716,b
maqqu				maqqu pu0 majjanti anye SabdA atra masja + un pfzo0 . vAdyaBede amaraH svArTe ka maqquka tatrArTe . maqquka- stavAdanaM Silpamasya vA Wak pakze aR . mAqqukika- mAqquka tadvAdanaSilpayute tri0 .	37299	4716,b
maRa				maRa avyaktaSabde BvA0 pa0 aka0 sew . maRati amARIt aBaRIt meRatuH .	37300	4716,b
maRi		puMstrI0 maRa	in strItvapakze vA NIp	maRi(RI) puMstrI0 maRa — in strItvapakze vA NIp . su- ktAdO ratne “ maRiratnaM saraM SItaM kazAyaM svAdu leKanam . cakzuzyaM DAraRAttacca pApAlakzmIvinASanam ” rAjavallaBaH . “ maRihArAvasirAmaRIyakam	37301	4716,b
maRI		puMstrI0 maRa	in strItvapakze vA NIp	maRi(RI) puMstrI0 maRa — in strItvapakze vA NIp . su- ktAdO ratne “ maRiratnaM saraM SItaM kazAyaM svAdu leKanam . cakzuzyaM DAraRAttacca pApAlakzmIvinASanam ” rAjavallaBaH . “ maRihArAvasirAmaRIyakam	37301.1	4716,b
maRikarRa				maRikarRa pu0 1 kAmarUpasTe 2 SivaliNgaBede maRikUwaSabde dfSyam .	37302	4717,a
maRikarRikA				maRikarRikA strI maRikarRaH maRimayakarRaBUzaRamastyasyAM Wan . vizRutapasyAdarSanAt vismayena Sivasya maRimaya- kuRqalapatanasTAne kASIsTe 1 tIrTaBede . tannAmaniruktiH kASI0 26 a0 yaTA vizRuM prati 	37303	4717,a
maRikarRISvara				maRikarRISvara na0 kASIsTe SivaliNgaBede kASIKa0 100 a0	37304	4717,a
maRikarReSvara				maRikarReSvara na0 kAmarUpasTe SivaliNgaBede kAlipu0 81 a0 .	37305	4717,a
maRikAnana				maRikAnana na0 maRikamivAnanaM yatra . kaRWe Sabdara0 .	37306	4717,a
maRikAra	pu0	maRimayaM BUzaRaM karoti kf	aR	maRikAra pu0 maRimayaM BUzaRaM karoti kf — aR . (jahari) 1 mARamayaBUzaRakArake 2 pratyakzAdicatuHKaRqAtmakatattvaci- ntAmaRinAmakagranTakAre gaNgeSopADyAye ca . kf — kvip 6 ta0 . maRikfdAdayo'pyatra 	37307	4717,a
maRikuwwikA				maRikuwwikA strI kumArAnucaramAtfBede BA0 Sa0 47 a0 .	37308	4717,a
maRikUwa				maRikUwa pu0 maRimayaH kUwo'sya . kAmarUpasTe parvataBede yaToktam “ BasmakUwasya cESAnyAM maRikUwo mahAgiriH . maRi- karRo nAma harastatra tizWati liNgakaH ” kAlikApu0 81 a0 .	37309	4717,a
maRiketu				maRiketu pu0 ketuBede vf0 sa0 11 a0 ketuSabde dfSyam .	37310	4717,a
maRigaRanikara				maRigaRanikara pu0 “ vasuhayayatiriha maRigaRanikaraH ” vf0 ra0 ukte paYcadaSAkzarapAdake CandoBede dviguRahaya laGurityasyAtrAnuvfttiH .	37311	4717,a
maRigrIva				maRigrIva pu0 kuveraputraBede Sabdara0 .	37312	4717,a
maRicCidrA				maRicCidrA strI maRiriva CidramasyAm . 1 medAnAmOzaDO 2 fzaBAnAmOzaDO ca medi0 .	37313	4717,a
maRijalA				maRijalA strI maRipracuraM jalamasyAm . nadIBede BA0 ca0 11 a0 .	37314	4717,a
maRita	na0	maRa	kta	maRita na0 maRa — kta . ratikAle strIRAmavyaktaSabdaBede hema0	37315	4717,a
maRitAraka				maRitAraka puMstrI0 maRiriva tArakAsya . sArasaKage rAjani0 striyAM jAtitvAt NIz .	37316	4717,a
maRidvIza				maRidvIza pu0 maRimayaH maRipracuro vA dvIpaH . kzIrasamudra- maDyasTe SrIvidyApIWarUpe dvIpaBede “ suDAsinDormaDye [Page4717-b+ 38] suraviwapivAwIparisare maRidvIpe lIlopavanacintA- maRigfhe ” Ananda	37317	4717,a
maRinAga				maRinAga pu0 nAgaBede BA0 A0 35 a0 .	37318	4717,b
maRiparvata				maRiparvata vf0 maRipracuraH parvataH SA0 ta0 . parvataBede harivaM0 158 a0 .	37319	4717,b
maRipAli	tri0	maRiM pAlayati pAli	ini	maRipAli tri0 maRiM pAlayati pAli — ini . maRipAlake tasya DarmyaM mahizyA0 aR . maRipAla tasya Darmye tri0 . tasyApatyam revatyA0 Wak . mARipAlika tadapatye puMstrI0	37320	4717,b
maRipucCI				maRipucCI strI maRiriva pucCaM yasyAH nityaM NIz . maRitulyapucCayutAyAM striyAm .	37321	4717,b
maRipuzpaka				maRipuzpaka pu0 sahadevasya SaNKe gItA 1 . 16 .	37322	4717,b
maRipura				maRipura na0 pOrastye deSaBede .	37323	4717,b
maRipUra				maRipUra na0 suzumRAntargate zawcakramaDye nABisTe padmaBede “ tadUrDve nABideSe tu maRipUraM mahApraBam . meGABaM vidyudABaYca bahutejomayaM tataH . ma RavadBinnaM tatpadmaM maRipUraM taTocyate . daS	37324	4717,b
maRibanDa	pu0	maRirbaDyate'tra banDa	ADAre GaY	maRibanDa pu0 maRirbaDyate'tra banDa — ADAre GaY . prakozWa- pARyormaDyasTe 1 karagranTO tasya SuBASuBalakzaRaM garu0 pu0 66 a0 uktaM yaTA “ maRibanDErnigUQESca suSlizwa- SuBasanDiBiH . nfpA hInEH kar	37325	4717,b
maRibIja				maRibI(vI)ja pu0 maRiriva bI(vI)jamasya . dAqimavfkze rAjani0 .	37326	4717,b
maRivIja				maRibI(vI)ja pu0 maRiriva bI(vI)jamasya . dAqimavfkze rAjani0 .	37326.1	4717,b
maRiBadra				maRiBadra pu0 yakzaBede BA0 sa0 30 a0 .	37327	4717,b
maRiBUmi				maRiBUmi strI 6 ta0 . maRInAmAkare .	37328	4717,b
maRimaYjarI				maRimaYjarI strI “ inASvEH syAt yaBanayajajagAH kIrttitA maRimaYjarI ” vf0 ra0 wIkokte UnaviMSatyakzarapAdake CandoBede .	37329	4717,b
maRimaRqapa				maRimaRqapa pu0 maRimayaH maRipracuro vA maRqapaH . 1 maRi- Kacite maRqape 2 devatApIWasTAnaBede tantrasAraH .	37330	4717,b
maRimat				maRimat tri0 maRirastyasya matup . 1 maRiyute tri0 striyAM NIp . 2 yakzaBede pu0 BA0 a0 1 a0 . vftrAsurAMSa- jAte dvAparayugIye 3 nfpaBede pu0 BA0 a0 67 a0 . 4 nAgaBede BA0 sa0 9 a0 . 5 rAkzasaBede BA	37331	4717,b
maRimaDya				maRimaDya na0 “ syAnmaRimaDyaM cedBamasAH ” Candoma0 ukte navAkzarapAdake CandoBede .	37332	4717,b
maRimanTa	na0	maRiriva maTyate manTa	karmaRi GaY	maRimanTa na0 maRiriva maTyate manTa — karmaRi GaY . sEnDavalavaRe amaraH .	37333	4717,b
maRimAlA				maRimAlA strI 6 ta0 . “ tyO tyO maRimAlA CinnA guha- [Page4718-a+ 38] vaktrEH ” Cando0 ukte dvAdaSAkzarapAdake 1 CandoBede . 2 hAre 3 dantakzataBede medi0 . 4 lakzmyAM Sabdara0 . 5 dIptO SabdamA0	37334	4717,b
maRirAga				maRirAga na0 maReriva rAgo varRo'sya . 1 hiqule rAMjani0 6 ta0 . 2 maRivarRe pu0 .	37335	4718,a
maRila				maRila tri0 maRi + siDmA0 astyarTe ac . maRiyute .	37336	4718,a
maRiva	pu0	maRi	astyarTe va	maRiva pu0 maRi — astyarTe va . nAgaBede si0 kO0 .	37337	4718,a
maRivAla				maRivAla pu0 maRiriva SudDatvAt vAlaH keSo'sya . aSvi- dEvatye paSuBede yaju0 224 . 3 .	37338	4718,a
maRivAhana				maRivAhana pu0 nfpaBede BA0 a0 63 a0 .	37339	4718,a
maRiSEla				maRiSEla pu0 mandarAcalasya pUrvasTe parvataBede mArkapu0 55 .	37340	4718,a
maRisara	pu0	maRIn sarati kAraRatvena gacCati sf	ac 6 ta0	maRisara pu0 maRIn sarati kAraRatvena gacCati sf — ac 6 ta0 . maRiKacite hAraBede .	37341	4718,a
maRiskanDa				maRiskanDa pu0 nAgaBede BA0 A0 57 a0 .	37342	4718,a
maRIcaka	na0	maReH IM SoBAM cakate pratihanti caka	ac 6 ta0	maRIcaka na0 maReH IM SoBAM cakate pratihanti caka — ac 6 ta0 . 1 candrakAntamaRO trikA0 . 2 matsyaraNgaKage puMstrI0 hArA0 striyAM NIz .	37343	4718,a
maRIvaka	na0	maRIva kAyati kE	ka	maRIvaka na0 maRIva kAyati kE — ka . puzpe hArA0 .	37344	4718,a
maRIvatI				maRIvatI strI maRi + astyarTe matup ni0 masya vaH SarA0 dIrGaH . maRiyuktanadIBede .	37345	4718,a
maRwapI	strI	maRwaM pAti pA	ka gOrA0 NIz	maRwapI strI maRwaM pAti pA — ka gOrA0 NIz . kzudropada . kyAm rAjani0 .	37346	4718,a
maRwi				maRwi pu0 gotrapravararziBede pravarADyAyaH .	37347	4718,a
maRWa	pu0	maWa	ac pfzo0 vA	maRWa(Wa) pu0 maWa — ac pfzo0 vA . (BAWa) kftAnnaBede rAjani0 . “ samitAM mardayadAjyErjalenApi ca sannayet . asyAstu vawakaM kftvA pacet sarpizi nIrasam . elAlavaNgakarpUra- maricAdyEralaNkfte . majj	37348	4718,a
maWa	pu0	maWa	ac pfzo0 vA	maRWa(Wa) pu0 maWa — ac pfzo0 vA . (BAWa) kftAnnaBede rAjani0 . “ samitAM mardayadAjyErjalenApi ca sannayet . asyAstu vawakaM kftvA pacet sarpizi nIrasam . elAlavaNgakarpUra- maricAdyEralaNkfte . majj	37348.1	4718,a
maRqa		puMna0 mana	qa tasya nettvam	maRqa puMna0 mana — qa tasya nettvam . 1 sarvAnnAnAmagrarase (mAqa) 2 sAre 3 picCe ca . 4 AmalakyAM 5 surAyAYca strI 6 daDimaRqe (mAt) na0 medi0 . 7 eraRqavfkze 8 SAkaBede BUzAyAM ca puMna0 hemaca0 ar	37349	4718,a
maRqaka				maRqaka pu0 BAva0 ukte pizwakaBede kftAnnaSabde 2181 pf0 dfSyam saNgItadAmo0 ukte gItANgaBede yaTA “ jayapriyaH kalApaSca kamalaH sundarastaTA . maNgalo vallaBa- Sceti maRqakAH zaw prakIrttitAH . jaya	37350	4718,b
