key	key_stem	linga	vyutpatti	nirvacana	base	chain	pratyaya	qualifier	unadi_ref	sutra_quoted	lnum	page	unadi_ref_project	unadi_match
aga	aga										181	1-007-b		
agaH	aga	puM	na gacCati . gama gatO . anyeByo'pIti anyezvapi iti vA qaH . na go'prARizu iti pAkziko'prakftiBAvaH .	na gacCati . gama gatO . anyeByo'pIti anyezvapi iti vA qaH . na go'prARizu iti pAkziko'prakftiBAvaH .							182	1-007-b		
agacCaH	agacCa	puM	na + gacCa .		na	na + gacCa	gacCa				183	1-007-b		
agajaM	agaja	klI	aga + jan + qa .		aga	aga + jan + qa	qa	jan +			184	1-007-b		
agaRyaM	agaRya	tri	na gaRyaM . naY samAsaH .	na gaRyaM . naY samAsaH .							185	1-007-b		
agadaH	agada	puM	gadavirudDaH . na gadaH asmAta iti vA .	gadavirudDaH . na gadaH asmAta iti vA .							186	1-007-b		
agadaNkAraH	agadaNkAra	puM	agadam arogaM karoti iti . agada + kf + aR . mumAgamaH .	agadam arogaM karoti iti	agada	agada + kf + aR . mumAgamaH	mumAgamaH	kf + aR			187	1-007-b		
agamaH	agama	puM	na gacCatIti . na + gama + ac . pacAdyac .	na gacCatIti	na	na + gama + ac . pacAdyac	pacAdyac	gama + ac			188	1-007-b		
agamyaM	agamya	tri	na gamya iti . na + gam + yat .	na gamya iti	na	na + gam + yat	yat	gam +			189	1-007-b		
agamyA	agamyA										190	1-007-b		
agarI	agarI	strI	na + gF + ac + NIz .		na	na + gF + ac + NIz	NIz	gF + ac +			191	1-007-c		
agarhitaH	agarhita	tri	na garhitaH . naYsamAsaH	na garhitaH . naYsamAsaH							192	1-007-c		
agaru	agaru	klI puM	na garuH durBaraH asmAt iti .	na garuH durBaraH asmAt iti .							193	1-007-c		
agastiH	agasti	puM	vinDyAKyam agam asyati iti agastiH . asyateH ktic . bAhulakAt tirvA .	vinDyAKyam agam asyati iti agastiH . asyateH ktic . bAhulakAt tirvA .							194	1-007-c		
agastidruH	agastidru										195	1-007-c		
agastyaH	agastya	puM	agaM vinDyaM styAyati staBnAti vA . styE saMDAte . Ato'nupasarge iti kaH . aga + styE + ka .	agaM vinDyaM styAyati staBnAti vA . styE saMDAte . Ato'nupasarge iti kaH	aga	aga + styE + ka	ka	styE +			196	1-007-c		
agastyodayaH	agastyodaya	puM	agastyasya nakzatrasya udayaH Sara- tkAle gagane AvirBAvaH .	agastyasya nakzatrasya udayaH Sara- tkAle gagane AvirBAvaH .							197	1-007-c		
agADaH	agADa	tri	nAsti gADaH sTitiratra . naYo- 'styarTAnAmiti bahubrIhiH .	nAsti gADaH sTitiratra . naYo- 'styarTAnAmiti bahubrIhiH .							198	1-008-a		
agADaM	agADa										199	1-008-a		
agADajalaH	agADajala	puM	agADaM jalaM yasmin . bahu- brIhiH .	agADaM jalaM yasmin . bahu- brIhiH .							200	1-008-a		
agAraM	agAra	klI	agAn fcCati . fgatO . karmma- RyaR .	agAn fcCati . fgatO . karmma- RyaR .							201	1-008-a		
agiraH	agira	puM	aga + ira .		aga	aga + ira	ira				202	1-008-a		
