key	lnum	page	text
SatAnanda	51	0002	SatAnanda; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
SamBu	52	0002	SamBu; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
svayamBU	53	0002	svayamBU; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
druhiRa	54	0002	druhiRa; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
caturvaktra	55	0002	caturvaktra; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
prajApati	56	0002	prajApati; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
pitAmaha	57	0002	pitAmaha; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
jagatkartf	58	0002	jagatkartf; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
viraYci	59	0002	viraYci; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
kamalAsana	60	0002	kamalAsana; brahmA srazwA paramezWI DAtA padmaBUH surajyezWaH . veDA viDirviriYco hiraRyagarBaH SatAnandaH .. 6 .. SamBuH svayamBUrdruhiRaScaturvaktraH prajApatiH . pitAmaho jagatkartA viraYciH kamalAsanaH .. 7 .. 1.1.1.6
vAk	61	0002	vAk; vAgvARI BAratI BAzA gOrgIrbrAhmI sarasvatI . 1.1.1.7
vARI	62	0002	vARI; vAgvARI BAratI BAzA gOrgIrbrAhmI sarasvatI . 1.1.1.7
BAratI	63	0002	BAratI; vAgvARI BAratI BAzA gOrgIrbrAhmI sarasvatI . 1.1.1.7
BAzA	64	0002	BAzA; vAgvARI BAratI BAzA gOrgIrbrAhmI sarasvatI . 1.1.1.7
go	65	0002	go; vAgvARI BAratI BAzA gOrgIrbrAhmI sarasvatI . 1.1.1.7
gIr	66	0002	gIr; vAgvARI BAratI BAzA gOrgIrbrAhmI sarasvatI . 1.1.1.7
brAhmI	67	0002	brAhmI; vAgvARI BAratI BAzA gOrgIrbrAhmI sarasvatI . 1.1.1.7
sarasvatI	68	0002	sarasvatI; vAgvARI BAratI BAzA gOrgIrbrAhmI sarasvatI . 1.1.1.7
oNkAra	69	0002	oNkAra; oNkAraH praRavaH proktastrayo vedAstrayI smftAH .. 8 .. 1.1.1.8
praRava	70	0002	praRava; oNkAraH praRavaH proktastrayo vedAstrayI smftAH .. 8 .. 1.1.1.8
vedAH	71	0002	vedAH; oNkAraH praRavaH proktastrayo vedAstrayI smftAH .. 8 .. 1.1.1.8
trayI	72	0002	trayI; oNkAraH praRavaH proktastrayo vedAstrayI smftAH .. 8 .. 1.1.1.8
veda	73	0002	veda; vedaH SrutistaTAmnAyaH svADyAyaSCanda AgamaH . 1.1.1.9
